,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
417,<__main__.Entity object at 0x7f3187ebd240>,Coal,4,[],"{442, 1516, 2085, 2098}","{'coal', 'coal industry'}",0.2375,0.05
418,<__main__.Entity object at 0x7f3187bec780>,Greta_Thunberg,16,"['Agent', 'Person']","{2752, 3002, 514, 2810, 2342, 1256, 2861, 2257, 1812, 886, 1591, 1592, 2809, 1050, 443, 3101}","{'Greta', 'greta'}",0.367236328125,0.5
419,<__main__.Entity object at 0x7f31882bcf28>,"Sebastian_County,_Arkansas",1,"['Region', 'PopulatedPlace', 'Place', 'Location', 'AdministrativeRegion']",{444},"{'Sebastian County, Arkansas'}",0.0,0.0
420,<__main__.Entity object at 0x7f31882bc5f8>,Morning_Joe,1,"['Work', 'TelevisionShow']",{445},{'Morning Joe'},-0.25625,-0.25625
421,<__main__.Entity object at 0x7f31882bc630>,Rudy_Giuliani,1,"['Person', 'Agent', 'Politician']",{445},{'Rudy Giuliani'},-0.25625,-0.25625
422,<__main__.Entity object at 0x7f31882d3ba8>,Don_Lemon,2,"['Agent', 'Person']","{446, 447}",{'Don Lemon'},0.0031250000000000028,0.0031250000000000028
423,<__main__.Entity object at 0x7f3187ccaef0>,Lightweight,28,[],"{2177, 2306, 2307, 2312, 2188, 2316, 2317, 2195, 2581, 2329, 2332, 2334, 2339, 2350, 2352, 2353, 2864, 2871, 2616, 2618, 446, 2254, 2260, 2138, 476, 2169, 2171, 2174}","{'Lightweight', 'lightweight'}",0.026030844155844158,0.0
424,<__main__.Entity object at 0x7f3187c874a8>,Rock_music,7,"['TopicalConcept', 'Genre', 'MusicGenre']","{2945, 1636, 1833, 2862, 2910, 2844, 446}",{'rock'},0.06518613000755857,0.014814814814814808
425,<__main__.Entity object at 0x7f31881cb978>,Constitution_of_the_United_States,3,[],"{448, 723, 892}",{'Constitution'},-0.10945165945165945,0.19285714285714287
426,<__main__.Entity object at 0x7f3187e952e8>,Open_border,8,[],"{449, 1841, 1011, 566, 2074, 987, 1500, 990}","{'open border', 'open borders'}",0.016990740740740737,0.04722222222222222
427,<__main__.Entity object at 0x7f31882d3b38>,"Wilmington,_North_Carolina",1,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'City']",{452},"{'Wilmington, North Carolina'}",0.0,0.0
428,<__main__.Entity object at 0x7f318823b2b0>,Antics_(album),2,"['Work', 'MusicalWork', 'Album']","{669, 455}",{'antics'},0.325,0.325
429,<__main__.Entity object at 0x7f31882d3080>,Auditorium,1,[],{455},{'auditorium'},0.65,0.65
