,tweet
184,We'll make our Economy and country more welcoming to people with Disability. We all win when everyone gets to share in UnitedStates's promise.
185,"The ultimate test of our society is how we treat our fellow Human beings, especially those who we have previously left behind."
186,Americans with Disability deserve the chance to work alongside those without Disability—to do the same jobs for the same pay &amp; benefits.
187,"We’ve got to build an Economy that welcomes people with Disability, values their work, rewards them fairly, and treats them with Respectmagazine"
188,Over 60% of adults with Disability aren’t in the workplace. We have to fix that. https://t.co/J3Jq21ejtR
189,The AmericanswithDisabilitiesActof1990 and the notion that workplaces and public spaces belong to everyone was one that HistoryoftheUnitedStatesDemocraticParty and HistoryoftheUnitedStatesRepublicanParty could both get behind.
190,None of us gets through life alone. We all have to look out for each other and Elevator each other up.
191,One of Hillary's first jobs out of Law school was to find out why kids with Disability weren't in school. https://t.co/vPMCYQmbls
192,"Not that long ago, if you had a Disability, it defined your entire life. Basic, essential things that others could do, you couldn’t."
193,"It's still legal to pay disabled workers less than the Minimumwage and BillClinton announces her plan to end that:
https://t.co/vEgIqMkmmg"
194,"Building an inclusive Economy is another reason we’ve got to break down Institutionalracism, including under-investment in communities of color."
195,"When we leave people out or write them off, we not only shortchange them and their dreams, we shortchange our country and our future."
196,"In UnitedStates, every person, no matter what you look like or who you are, should have the chance to go as far as your dreams will take you."
197,"We need to come together to turn the Tide, stop Violence, build trust, and give all our kids the chance to grow up safe and healthy."
198,We've also seen the targeting of Police officers—but so many serve every day with courage and honor and are committed to reform.
199,"We have two names to add to a long list of AfricanAmericans killed by Police officers. It’s unbearable, and it needs to become intolerable."
200,Live from OrlandoMagic: Watch Hillary share her plan for building an inclusive Economy that helps everyone get ahead → https://t.co/IX06FtcZG8
201,Every student should be able to graduate from college without taking on any Debt. https://t.co/1aWqDOKh7p https://t.co/KHguTDbKW9
202,ShootingofKeithLamontScott. ShootingofTerenceCrutcher. Too many others. This has got to end. -Hydrogen
203,"Have Studentdebt? 
Planning for college?
See how much money Hillary's plan would save you:
https://t.co/fiXgr6S3Ye https://t.co/B8PCks6yXL"
204,FoundationforArtandCreativeTechnology: DonaldTrump used his Charitableorganization to purchase *multiple* six-foot-tall paintings of himself. https://t.co/tDeBH37w7h
205,"A real headline about the RepublicanPartyofMinnesota nominee: ""DonaldTrump used $258,000 from his Charitableorganization to settle legal problems."" https://t.co/2LRtZB3Ri2"
206,"Four months from today, our next PresidentoftheUnitedStates will walk into the OvalOffice.

Help make sure it's not DonaldTrump: https://t.co/Gxp2QdeIhH"
207,"On this day in 1973, Tennis champion BillieJean King defeated BobbyRiggs in the “Battle of the Sexes.” https://t.co/G06Ol90j1O"
208,"""You can leave this ad muted—there's nothing to hear."" —@NyleDiMarco

https://t.co/tTgeqxNqYm https://t.co/QOqcWnw7OJ"
209,"Help get out the vote for Hillary (plus, get a free Sticker when you sign up!): https://t.co/v4rISVHYuG"
210,DonaldTrump’s calls to Torture and mistreat prisoners go against the very values we are fighting to defend. We’re better than this.
211,Donald hasn't given his own money to the DonaldJTrumpFoundation since 2008—but it's still paying his bills. https://t.co/2LRtZB3Ri2
212,It's time to tell @WellsFargo that Wall Street works for Main Street—not the other way around. https://t.co/mYuTS4qgF4
213,NEWTVstation: DonaldTrumponsocialmedia used more $250K+ from his Charitableorganization to pay off legal settlements of his Business businesses.   https://t.co/Fa1RooYWMT
214,Another unarmed Blackpeople man was shot in a Police incident. This should be intolerable. We have so much work to do. #TerenceCrutcher -Hydrogen
